,Fname,Lname,Dept,rating_class,total_Ratings,overall_rating
542,Susan,Diamond,Criminal Justice,good,2,3.8
543,Garst,Dianna,Communication,good,2,4.5
544,Galen,Dickey-Laprocido,Sociology,average,3,3.0
545,Keith,Dickinson,Marketing,good,1,5.0
546,Keith,Dickinson,Business,good,42,3.5
547,Deborah,Dickson,Communication,poor,1,1.0
548,Gregg,Dieckmann,Chemistry,good,159,4.0
549,Paul,Diehl,Political Science,good,1,4.0
550,Joy,Dier,Health Science,zero,0,N/A
551,Tom,Dill,Geology,poor,5,1.0
552,Clayton,Dillard,Arts amp Humanities,average,9,3.0
553,Ahad,Din,Political Science,good,1,4.0
554,Yichen,Ding,Engineering,good,1,5.0
555,Hui,Ding,Mathematics,poor,23,2.1
556,Laurel,Dingrando,Education,good,2,5.0
557,Brian,DiNuzzo,English,poor,3,1.7
558,Dushanti,Dissanayake,Chemistry,good,1,5.0
559,Dushanthi,Dissanayake,Chemistry,good,10,4.0
560,Kim,Distin,Science,good,2,4.0
561,Lauren,Dixon,Literature,good,2,4.8
562,Sheel,Dodani,Chemistry,poor,5,2.4
563,Nathan,Dodge,Engineering,good,91,4.3
564,Kutsal,Dogan,Information Science,good,7,4.2
565,Scott,Dollinger,Computer & Math. Sciences,zero,0,N/A
566,Scott,Dollinger,Computer Science,average,66,3.4
567,Courtney,Dombroski,Rhetoric,good,7,4.7
568,Katie,Donaldson,Education,good,1,5.0
569,Zheng,Dong,Computer Science,average,4,3.0
570,Paul,Donnelly,Criminal Justice,good,11,4.6
571,Karen,Doore,Computer Science,average,23,3.1
572,Ramona,Dorough,Business Communications,poor,3,1.3
573,Floyd,Dorsey,Education,good,6,4.4
574,Elham,Doust-Haghighi,Arts & Technology,zero,0,N/A
575,Howard,Dover,Business,average,20,3.4
576,Douglas,Dow,Political Science,good,26,4.1
577,Patrick,Dowling,Arts & Technology,good,6,5.0
578,Walter J,Dowling,Psychology,average,63,3.1
579,Rockford,Draper,Biology,good,4,3.5
580,Elham,Doust-Haghighi,Arts & Technology,zero,0,N/A
581,Howard,Dover,Business,average,22,3.2
582,Douglas,Dow,Political Science,good,29,4.1
583,Patrick,Dowling,Arts & Technology,good,6,5.0
584,Walter J,Dowling,Psychology,average,66,3.1
585,Rockford,Draper,Biology,good,4,3.5
586,linda,drew,Behavioral Sciences,average,14,3.3
587,Kristen,Drogos,Arts amp Technology,poor,5,2.4
588,Jeffery,Drummond,Management,good,1,5.0
589,Jeffery,Drummond,Law,good,3,5.0
590,Martinella,Dryburgh,Political Science,good,2,4.5
591,Heng,Du,Biology,good,2,4.0
592,Ding-Zhu,Du,Computer Science,poor,16,2.0
593,Shengwang,Du,Physics,average,2,3.0
594,William,Dubnov,Psychology,good,6,4.8
595,James,Ducker,Accounting,zero,0,N/A
596,Frank,Dufour,Arts  Technology,average,2,3.2
597,Lloyd,Dumas,Economics,good,30,4.4
598,Amanda,Dunbar,Art History,good,2,3.5
599,Monique,Duncan,Biology,good,5,4.0
600,Greg,Earle,Physics,good,5,4.3
601,Doric,Earle,Economics,good,4,4.0
602,Diana,Easton,Engineering,zero,0,N/A
603,John,Eaton,Political Science,good,1,4.0
604,Betty,Edelman,Psychology,good,18,4.6
605,Vincent,Edera,Languages,good,2,5.0
606,Sandi,Edgar,Humanities,good,6,4.7
607,Kyle,Edgington,Business,good,23,4.8
608,Russell,Edmunds,History,good,25,4.5
609,Alexander,Edsel,Marketing,good,56,3.5
610,Mary,Effler Li,Arts & Technology,good,2,4.0
611,Sam,Efromovich,Mathematics,average,13,2.6
612,Terence,Egan,Operations Management,poor,2,1.0
613,Terence,Egan,Business,poor,2,1.2
614,Terence,Egan,Management,average,1,3.0
615,Trey,Egan,Art History,zero,0,N/A
616,Trey,Egan,Arts  Humanities,good,39,4.4
617,Sam,Ehrenreich,Psychology,good,17,4.8
618,Sarah,El Sayed,Criminal Justice,average,6,3.3
619,Nermine,El Sissi,Mathematics,average,8,3.1
620,Terence,Egan,Management,average,1,3.0
621,Trey,Egan,Art History,zero,0,N/A
622,Trey,Egan,Arts  Humanities,good,39,4.4
623,Sam,Ehrenreich,Psychology,good,17,4.8
624,Sarah,El Sayed,Criminal Justice,average,6,3.3
625,Nermine,El Sissi,Mathematics,average,8,3.1
626,Narmine,El Sissi,Mathematics,zero,0,N/A
627,Amal,El-Ashmawi,Business,average,70,3.3
628,Mohamed,El-Komi,Economics,good,6,4.2
629,Nermine,El-Sissi,Mathematics,average,2,2.8
630,Candace,Eldridge,Communication,poor,3,1.0
631,Arturo,Elizondo,Computer Science,good,2,4.5
632,Gasan,Elkhodari,Information Science,good,14,4.5
633,Deidria,Ellington,Business,good,1,5.0
634,Euel,Elliott,Political Science,average,61,3.3
635,Omid,Elmi,Marketing,average,6,3.0
636,Negin,Enayaty Ahangar,Management,average,60,3.4
637,Dustin,Encizo,Business,zero,0,N/A
638,Crystal,Engineer,Neuroscience,good,4,5.0
639,Serdar,Erbatur,Computer Science,average,31,3.2
640,Sam,Ehrenreich,Psychology,good,17,4.8
641,Sarah,El Sayed,Criminal Justice,average,6,3.3
642,Narmine,El Sissi,Mathematics,zero,0,N/A
643,Nermine,El Sissi,Mathematics,average,7,3.2
644,Amal,El-Ashmawi,Business,average,70,3.3
645,Mohamed,El-Komi,Economics,good,6,4.2
646,Nermine,El-Sissi,Mathematics,good,1,3.5
647,Rami,El-Youssef,Business,zero,0,N/A
648,Candace,Eldridge,Communication,poor,3,1.0
649,Arturo,Elizondo,Computer Science,good,2,4.5
650,Gasan,Elkhodari,Information Science,good,15,4.7
651,Deidria,Ellington,Business,good,1,5.0
652,Euel,Elliott,Political Science,average,61,3.3
653,Omid,Elmi,Marketing,average,6,3.0
654,Negin,Enayaty Ahangar,Management,average,60,3.4
655,Dustin,Encizo,Business,zero,0,N/A
656,Crystal,Engineer,Neuroscience,good,4,5.0
657,Serdar,Erbatur,Computer Science,average,31,3.2
658,Ilhan,Ertan,Operations Management,average,8,3.5
659,Elizabeth,Escalante,Philosophy,good,2,3.5
660,Michael,Farmer,History,good,8,4.7
661,David,Farmer ,Psychology,average,4,3.0
662,Neil,Farquharson,Marketing,good,9,5.0
663,Eric,Farrar,Arts & Technology,good,4,5.0
664,Simon,Fass,Public Policy,average,6,3.0
665,Soraya,Fatehi,Management,average,3,2.7
666,Peter,Fauver,Psychology,zero,0,N/A
667,Todd,Fechter,Arts & Technology,good,6,4.9
668,Robert,Fee,Arts & Technology,poor,6,1.2
669,Ranran,Feng,Computer Science,poor,42,1.7
670,Ervin,Fenyves,Physics,poor,2,2.2
671,Alina,Ferecatu,Marketing,average,4,2.8
672,John,Ferguson,Geology,zero,0,N/A
673,Wesley,Ferguson,Theater,good,22,4.4
674,John,Ferraris,Chemistry,zero,0,N/A
675,Leticia,Ferreira de Souza,Arts & Technology,good,1,5.0
676,Jacopo,Ferruzzi,Engineering,good,1,4.0
677,Maha,Fettouh,Languages,good,8,3.5
678,Nicholas,Fey,Engineering,good,2,4.5
679,Amanda,Field,English,poor,1,1.0
680,Andras,Farago,Computer Science,average,18,3.3
681,Mehdi,Farahani,Management,good,5,4.4
682,Meymanat,Farazmirad,Mathematics,good,3,3.8
683,Alvin,Farmer,Psychology,average,4,3.4
684,Michael,Farmer,History,good,11,4.3
685,David,Farmer ,Psychology,average,4,3.0
686,Neil,Farquharson,Marketing,good,9,5.0
687,Eric,Farrar,Arts & Technology,good,4,5.0
688,Simon,Fass,Public Policy,good,5,3.5
689,Soraya,Fatehi,Management,average,4,2.8
690,Peter,Fauver,Psychology,zero,0,N/A
691,Todd,Fechter,Arts & Technology,good,6,4.9
692,Robert,Fee,Arts & Technology,poor,6,1.2
693,Ranran,Feng,Computer Science,poor,50,1.6
694,Ervin,Fenyves,Physics,poor,2,2.2
695,Alina,Ferecatu,Marketing,average,4,2.8
696,John,Ferguson,Geology,zero,0,N/A
697,Wesley,Ferguson,Theater,good,25,4.4
698,John,Ferraris,Chemistry,zero,0,N/A
699,Leticia,Ferreira de Souza,Arts & Technology,good,1,5.0
700,Forney,Fleming,Health Science,good,23,4.5
701,Blair,Flicker,Business,good,10,5.0
702,James,Florence,Engineering,zero,0,N/A
703,James,Florence,Electrical Engineering,average,58,3.1
704,Steven,Foland,Engineering,good,3,3.7
705,Manjula Samanmalee,Foley,Mathematics,good,100,4.2
706,Christopher,Foltz,English,good,4,4.4
707,John,Fonseka,Engineering,average,33,3.3
708,David,Ford,Business,poor,18,1.4
709,Luca,Forte,Engineering,zero,0,N/A
710,Kyle,Fox,Computer Science,good,9,5.0
711,Robert,Franklin,Political Science,average,7,2.6
712,Andrew,Frazelle,Operations Management,good,3,4.3
713,Michael,Frazier,Criminal Justice,average,7,3.4
714,Gary,Frazier,Physics,average,14,3.5
715,William,Frensley,Engineering,average,11,3.3
716,Brian,Fridge,Arts & Humanities,zero,0,N/A
717,Joseph,Friedman,Engineering,poor,10,1.9
718,Jonathan,Frome,Film,average,25,3.4
719,Sandra,Frost,Accounting,good,10,3.8
720,James,Florence,Engineering,zero,0,N/A
721,James,Florence,Electrical Engineering,average,58,3.1
722,Steven,Foland,Engineering,good,3,3.7
723,Manjula Samanmalee,Foley,Mathematics,good,100,4.2
724,Christopher,Foltz,English,good,4,4.4
725,John,Fonseka,Engineering,average,33,3.3
726,David,Ford,Business,poor,18,1.4
727,Luca,Forte,Engineering,zero,0,N/A
728,Kyle,Fox,Computer Science,good,9,5.0
729,Robert,Franklin,Political Science,average,7,2.6
730,Andrew,Frazelle,Operations Management,good,3,4.3
731,Michael,Frazier,Criminal Justice,average,7,3.4
732,Gary,Frazier,Physics,average,14,3.5
733,Leah,Frazier,Business,zero,0,N/A
734,William,Frensley,Engineering,average,11,3.3
735,Brian,Fridge,Arts & Humanities,zero,0,N/A
736,Joseph,Friedman,Engineering,poor,10,1.9
737,Meredith,Friedman,Education,zero,0,N/A
738,Jonathan,Frome,Film,average,25,3.4
739,Sandra,Frost,Accounting,good,10,3.8
740,Jennifer,Fry,Business Communications,good,39,3.7
741,Kaibin,Fu,Mathematics,good,3,4.7
742,Tony,Fuller,Information Science,good,21,4.0
743,Andrea,Fumagalli,Electrical Engineering,good,1,4.0
744,Andrea,Fumagalli,Engineering,good,15,4.2
745,Albert,Fung,Physics,zero,0,N/A
746,Aali,Furqan,Biology,good,1,5.0
747,Jack,Furst,Finance,good,7,4.0
748,Todd,Gabel,Economics,poor,13,2.0
749,Mark,Gable,Computer Science,good,2,5.0
750,Jerome,Gafford,Business,good,12,3.6
751,K,Gaibulloev,Economics,zero,0,N/A
752,Harold,Gaither,Criminal Justice,good,3,3.8
753,Timothy,Galpin,Business,zero,0,N/A
754,Brenda,Gambol,Sociology,good,2,5.0
755,John,Gamino,Accounting,good,52,3.5
756,Sarah,Gammell,Criminal Justice,good,8,4.5
757,Bernhard,Ganglmair,Finance,good,3,3.5
758,M,Gangwar,Business,zero,0,N/A
759,Nicholas,Gans,Electrical Engineering,good,8,3.6
760,Joanna,Gentsch,Psychology,good,50,4.9
761,Jackson,George,Business Communications,good,4,5.0
762,Jackson,George,Management,good,2,5.0
763,Lori,Gerard,Music,poor,17,2.3
764,Rajesh,Ghai,Finance,zero,0,N/A
765,Usman,Ghani,Business,poor,6,1.7
766,Soumaya,Gharsallaoui,Computer Science,zero,0,N/A
767,Rajashi,Ghosh,Arts & Technology,average,2,3.0
768,Abhijeet,Ghoshal,Business,good,1,5.0
769,Lisa,Gibson,Management,good,7,4.0
770,Roshonda,Gibson,Communication,average,2,2.5
771,Seth,Giertz,Economics,good,11,3.5
772,Michaella,Gilliland,Business Communications,good,18,3.7
773,Rost,Ginevich,Marketing,good,1,5.0
774,Rostislav,Ginevich,Marketing,good,3,5.0
775,Diana,Gingo,Literature,zero,0,N/A
776,Marina,Girju,Business,good,4,4.6
777,,Giron,Languages,zero,0,N/A
778,Terri,Gladden,Education,good,2,5.0
779,Janece ,Glauser,Engineering,average,37,2.8
780,Xianjun,Geng,Information Science,good,5,4.3
781,Joanna,Gentsch,Psychology,good,50,4.9
782,Jackson,George,Business Communications,good,4,5.0
783,Jackson,George,Management,good,2,5.0
784,Lori,Gerard,Music,poor,17,2.3
785,Rajesh,Ghai,Finance,zero,0,N/A
786,Usman,Ghani,Business,poor,6,1.7
787,Soumaya,Gharsallaoui,Computer Science,zero,0,N/A
788,Rajashi,Ghosh,Arts & Technology,average,2,3.0
789,Abhijeet,Ghoshal,Business,good,1,5.0
790,Lisa,Gibson,Management,good,7,4.0
791,Roshonda,Gibson,Communication,average,2,2.5
792,Seth,Giertz,Economics,good,11,3.5
793,Michaella,Gilliland,Business Communications,good,18,3.7
794,Rost,Ginevich,Marketing,good,1,5.0
795,Rostislav,Ginevich,Marketing,good,3,5.0
796,Diana,Gingo,Literature,zero,0,N/A
797,Sachin,Giri,Chemistry,good,11,5.0
798,Marina,Girju,Business,good,4,4.6
799,,Giron,Languages,zero,0,N/A
800,Terri,Gladden,Education,good,2,5.0
801,Janece ,Glauser,Engineering,average,37,2.8
802,Robert,Glosser,Physics,poor,69,2.0
803,Bruce,Gnade,Chemistry,good,5,4.1
804,Matthew,Goeckner,Engineering,average,30,3.3
805,Vibhav,Gogate,Computer Science,good,21,4.5
806,Ghanshyamsinh,Gohil,Electrical Engineering,good,2,4.0
807,Omer,Gokalp,Management,good,3,5.0
808,Abdullah,Gokcinar,Operations Management,poor,2,2.0
809,Terry,Gold,Physical Education,good,6,4.5
810,Shari,Goldberg,Literature,good,10,4.5
811,Paula,Goldberg,Arts & Humanities,zero,0,N/A
812,Richard,Golden,Behavioral Sciences,good,11,4.2
813,Nathan,Goldman,Accounting,good,18,4.9
814,Laura,Goldstein,Rhetoric,good,2,4.5
815,Ronaldo,Goncalves Ju,Computer Science,good,4,3.5
816,Cristina,Gonzalez,Languages,zero,0,N/A
817,John,Gooch,Communication,poor,10,1.4
818,Levi,Good,Behavioral Sciences,average,5,2.6
819,Dianne,Goode,Art History,good,68,4.0
820,Doug,Goodman,Political Science,good,2,4.0
821,Kelly,Goodness,Psychology,average,12,2.6
822,Mary Beth,Goodrich,Accounting,average,49,3.3
823,Richard,Goodrum,Computer Science,poor,61,2.0
824,Quinn,Gordon,Criminal Justice,zero,0,N/A
825,Evgenia ,Gorina,Management,good,5,3.5
826,Pamela,Gossin,Humanities,good,23,3.9
827,Banu,Gotkan,Business,good,4,3.8
828,Warren,Goux,Chemistry,poor,47,1.9
829,Philip,Graber,Mathematics,good,3,4.7
830,Sebastian,Graham,Political Science,good,22,5.0
831,Kelly,Grandjean,Arts & Humanities,good,11,3.8
832,Meridith,Grant,Psychology,good,42,4.4
833,Marjorie,Grantham,Behavioral Sciences,average,3,3.3
834,Kyle,Graves,Undergraduate Studies,good,2,5.0
835,Donald,Gray,Biology,good,2,3.8
836,Thomas,Gray,Political Science,good,19,4.6
837,Megan,Gray,Arts & Humanities,zero,0,N/A
838,Janelle,Gray,Rhetoric,poor,4,1.0
839,Kevin,Green,Finance,average,6,3.2
840,Min Wook,Ha,Economics,good,1,4.0
841,Zygmunt,Haas,Engineering,average,8,3.2
842,Faz,Hadjebian,English,average,8,3.3
843,Travis,Hadley,Political Science,good,37,3.5
844,Donald,Hafer,Psychology,good,23,4.3
845,John,Hagen,Business,average,5,3.4
846,ER,Hagge,Mathematics,poor,7,2.3
847,Roza,Hagstrom,Mathematics,poor,1,1.0
848,Amanda,Hahn,Psychology,good,1,5.0
849,Marc,Hairston,Science,good,18,4.5
850,Vinita,Hajeri,Science,average,8,3.1
851,Rusty,Hale,Management,good,2,3.8
852,Maryjane,Hall,Psychology,average,2,3.0
853,Phillip,Hall,Arts  Technology,good,8,5.0
854,Omar,Hamdy,Computer Science,good,3,4.0
855,Cristen,Hamilton,Rhetoric,good,12,4.6
856,Kevin,Hamlen,Computer Science,good,10,4.5
857,Munhee,Han,Finance,good,8,3.7
858,Minyu,Han,Economics,poor,1,1.0
859,Juanjuan,Han,Information Science,zero,0,N/A
860,Lale,Guler,Accounting,good,54,4.1
861,Michael,Gunin,Political Science,average,2,2.8
862,Huizhen,Guo,Mathematics,average,12,2.7
863,Xiaohu,Guo,Computer Science,average,9,2.5
864,Gopal,Gupta,Computer Science,good,10,4.2
865,Varun,Gupta,Business,good,6,4.8
866,Shivam,Gupta,Operations Management,good,8,4.5
867,Neeraj,Gupta,Computer Science,average,58,2.6
868,Umit,Gurun,Accounting,good,28,3.8
869,Ayfer,Gurun,Finance,average,53,2.9
870,Carlos,Gutierrez Mannix,Political Science,good,20,4.6
871,Randall,Guttery,Management,good,52,3.5
872,Min Wook,Ha,Economics,good,1,4.0
873,Zygmunt,Haas,Engineering,average,8,3.2
874,Faz,Hadjebian,English,average,8,3.3
875,Travis,Hadley,Political Science,good,37,3.5
876,Donald,Hafer,Psychology,good,23,4.3
877,John,Hagen,Business,average,5,3.4
878,ER,Hagge,Mathematics,average,6,2.5
879,Roza,Hagstrom,Mathematics,poor,1,1.0
880,Amanda,Hahn,Psychology,good,1,5.0
881,Marc,Hairston,Science,good,18,4.5
882,Vinita,Hajeri,Science,average,9,3.3
883,Rusty,Hale,Management,good,2,3.8
884,Maryjane,Hall,Psychology,average,2,3.0
885,Phillip,Hall,Arts  Technology,good,8,5.0
886,Omar,Hamdy,Computer Science,good,11,4.3
887,Karen,Hamer,Criminal Justice,zero,0,N/A
888,Cristen,Hamilton,Rhetoric,good,13,4.6
889,Anna,Hamilton,Behavioral Sciences,zero,0,N/A
890,Kevin,Hamlen,Computer Science,good,10,4.5
891,Munhee,Han,Finance,good,8,3.7
892,Minyu,Han,Economics,poor,1,1.0
893,Juanjuan,Han,Information Science,zero,0,N/A
894,Preston,Hanisko,Business,good,1,3.5
895,M,Hanlon,Fine Arts,good,13,3.7
896,Ernest,Hannig,Biology,average,30,2.5
897,Adler,Hans-Joachim,Business,average,68,3.4
898,Atanas,Hansen,Business,good,14,4.6
899,John,Hansen,Electrical Engineering,good,6,4.2
900,Maria,Hasenhuttl,Business,average,77,2.9
901,Zohreh,Hashami,Chemistry,good,31,5.0
902,Sahalie,Hashim,Rhetoric,good,17,4.6
903,Carl,Hasler,Philosophy,good,15,3.8
904,Michael,Hasler,Finance,average,1,3.0
905,Syed,Hasnain,Business,average,1,3.0
906,Fatemeh,Hassanipour,Engineering,average,10,3.3
907,Nozar,Hassanzadeh,Business,zero,0,N/A
908,Wendy,Hassett,Political Science,zero,0,N/A
909,Charles,Hatfield,Literature,good,16,4.2
910,Julia,Haun,Education,zero,0,N/A
911,James,Hawkins,Health Science,good,7,4.3
912,Julie,Haworth,Business,good,39,4.2
913,Mian,Hayaud-Din,Political Science,average,8,3.4
914,Michael,Haydel,Economics,poor,1,1.5
915,Heather,Hayenga,Engineering,good,2,4.0
916,Sara,Haynes,Health Science,zero,0,N/A
917,Steven,Haynes,Finance,good,3,5.0
918,Seth,Hays,Engineering,good,4,4.5
919,Melissa,Hayslip,Criminal Justice,good,3,4.3
920,Charles,Hazzard,Business,good,27,4.1
921,Ting,HE,Accounting,poor,5,2.0
922,Jie,He,Accounting,average,3,2.7
923,Jiapeng,He,Management,good,2,5.0
924,Daniel,Hearn,Law,good,2,5.0
925,Daniel,Hearne,Criminal Justice,zero,0,N/A
926,Audra,Heaslip,Arts & Humanities,good,1,5.0
927,Delilah,Heatherly,Physics,zero,0,N/A
928,Blake,Hedgecock,Business,good,5,4.8
929,Jonas,Hedlund,Economics,average,10,3.4
930,John,Hedstrom,Mathematics,average,3,2.7
931,Roderick,Heelis,Electrical Engineering,zero,0,N/A
932,Bill,Hefley,Business,poor,28,2.3
933,William,Hefley,Management,poor,28,2.0
934,David,Heidtman,Finance,zero,0,N/A
935,Matthew,Heins,Electrical Engineering,good,13,4.5
936,Annelise,Heinz,Arts  Humanities,good,3,4.7
937,Nathanael,Hellerman,Mathematics,good,2,4.0
938,Charles,Helms,Engineering,poor,19,2.0
939,Rashaunda,Henderson,Electrical Engineering,average,4,3.3
940,Tom,Henderson,International Business,average,76,3.0
941,Thomas,Henderson,Business,poor,13,1.7
942,Emily,Hennessy,Education,good,8,5.0
943,Edward,Hennigan,Humanities,good,10,4.2
944,Sarah,Henry,Business Communications,average,9,3.4
945,Austin,Henslee,Information Science,average,4,3.0
946,George,Henson,Languages,average,19,3.3
947,Uyen,Henson,Biology,good,7,4.6
948,Richard,Hernandez,Criminal Justice,good,3,5.0
949,Melissa,Hernandez-Katz,Communication,good,16,4.3
950,Scott,Herndon,Literature,good,12,4.1
951,Emily,Herzig,Mathematics,good,1,4.5
952,Christopher,Hess,Accounting,good,11,3.5
953,Sharon,Hewitt,Arts & Technology,average,6,3.2
954,Shelby,Hibbs,Arts  Humanities,good,8,4.5
955,Liliana,Hickman-Riggs,Accounting,good,8,4.5
956,Donald,Hicks,Political Science,zero,0,N/A
957,Don,Hicks,Economics,poor,20,1.7
958,Jeffrey,Hicks,Business,good,61,4.3
959,Austin,Higgins,Finance,zero,0,N/A
960,Thanh,Hoang,Political Science,good,2,5.0
961,Daniel,Hodan,Arts & Humanities,good,4,4.8
962,Gayle ,Hodges,Psychology,good,9,3.9
963,John,Hoffman,Physics,average,9,3.4
964,Blake,Hoffman,Humanities,good,3,4.7
965,Amy,Hofland,Art History,good,2,4.5
966,James,Hogan,Business,good,8,4.5
967,Zoey,Hoggatt,Arts amp Technology,zero,0,N/A
968,Alex,Holcomb,Management,average,1,3.0
969,Jennifer,Holmes,Political Science,good,14,3.6
970,Vira,Holovchenko,Economics,good,8,4.4
971,Cameron,Holstead,Accounting,good,1,5.0
972,Shayla,Holub,Psychology,good,37,3.7
973,Emily,Honea,Arts  Humanities,good,3,3.7
974,BO,Hong,Mathematics,good,2,3.5
975,Dorothee,Honhon,Operations Management,good,15,4.3
976,Elisabeth,Honka,Marketing,poor,3,1.8
977,Ali,Hooshyar,Mathematics,average,14,2.6
978,Mohammad,Hooshyar,Mathematics,good,5,3.7
979,Kristin,Hoppe,Sociology,good,1,5.0
980,Sharon,Hewitt,Arts & Technology,average,6,3.2
981,Shelby,Hibbs,Arts  Humanities,good,8,4.5
982,Liliana,Hickman-Riggs,Accounting,good,8,4.5
983,Donald,Hicks,Political Science,zero,0,N/A
984,Don,Hicks,Economics,poor,20,1.7
985,Jeffrey,Hicks,Business,good,61,4.3
986,Austin,Higgins,Finance,zero,0,N/A
987,James,Hilkert,Engineering,poor,5,1.7
988,Kimberly,Hill,Arts amp Humanities,good,4,4.5
989,Brenna,Hill,Biology,good,14,4.3
990,Justin,Hill,Literature,zero,0,N/A
991,Steve,Hiltz,Philosophy,average,12,2.9
992,Sarah,Hinkley,Psychology,average,2,3.0
993,Nick,Hinojosa,Management,good,23,4.0
994,Amanda,Hinson-Enslin,Health Science,good,3,3.7
995,Whitney,Hinze,Business Communications,poor,12,2.2
996,Larkin,Hiott,English,good,1,5.0
997,Karl,Ho,Economics,good,13,3.8
998,Twan,Ho,Fine Arts,average,3,3.2
999,Thanh,Hoang,Political Science,good,2,5.0
1000,Daniel,Hodan,Arts & Humanities,good,4,4.8
1001,Gayle ,Hodges,Psychology,good,9,3.9
1002,John,Hoffman,Physics,average,9,3.4
1003,Blake,Hoffman,Humanities,good,3,4.7
1004,Amy,Hofland,Art History,good,2,4.5
1005,James,Hogan,Business,good,8,4.5
1006,Zoey,Hoggatt,Arts amp Technology,zero,0,N/A
1007,Chieko,Hoki,Languages,zero,0,N/A
1008,Alex,Holcomb,Management,average,1,3.0
1009,Jennifer,Holmes,Political Science,good,14,3.6
1010,Vira,Holovchenko,Economics,good,8,4.4
1011,Cameron,Holstead,Accounting,good,3,5.0
1012,Shayla,Holub,Psychology,good,37,3.7
1013,Emily,Honea,Arts  Humanities,good,3,3.7
1014,James,Honeycutt,Business,zero,0,N/A
1015,BO,Hong,Mathematics,good,2,3.5
1016,Dorothee,Honhon,Operations Management,good,15,4.3
1017,Elisabeth,Honka,Marketing,poor,3,1.8
1018,Ali,Hooshyar,Mathematics,average,14,2.6
1019,Mohammad,Hooshyar,Mathematics,good,5,3.7
1020,William,Hughes,Music,good,7,4.5
1021,Natalia,Humphreys,Mathematics,good,4,4.4
1022,Jeanette,Hurst,History,good,2,4.5
1023,Michael,Huskey,Criminal Justice,good,4,4.0
1024,Ishtiaque ,Hussain,Computer Science,average,1,3.0
1025,Patricia,Hutcheson,Political Science,good,2,5.0
1026,Karen,Huxtable-Jester,Psychology,average,175,3.3
1027,Dung,Huynh,Computer Science,good,15,3.6
1028,D.T.,Huynh,Computer Science,good,1,4.0
1029,Kyle,Hyndman,Economics,good,2,3.5
1030,Yen,I-Ling,Computer Science,poor,30,1.8
1031,Yaser ,Ibrahim,Computer Science,good,1,4.0
1032,Chukwuemeka,Ikebude,Arts & Technology,zero,0,N/A
1033,Muhammad,Ikram,Electrical Engineering,poor,16,2.3
1034,Iliyan ,Iliev,History,good,24,3.9
1035,Ilyan,Iliev,Political Science,good,2,4.2
1036,Laura,Imaoka,Communication,good,9,4.2
1037,Peter,Ingrao,Humanities,good,127,4.3
1038,Jocelyn ,Isais,Arts  Technology,zero,0,N/A
1039,Mustapha,Ishak-Boushaki,Physics,good,55,4.9
1040,Sanjay,Jain,Business,good,3,4.0
1041,Pia,Jakobsson,History,good,8,3.9
1042,Surya,Janakiraman,Business,poor,1,1.0
1043,Ganesh,Janakiraman,Business,good,28,4.7
1044,Surya,Janakiraman,Accounting,average,24,2.8
1045,Sungha,Jang,Business,poor,1,1.5
1046,Youngki,Jang,Accounting,average,5,3.0
1047,Scott,Janke,Management,good,10,4.5
1048,Jamila,Javadova-Spitzberg,Music,average,11,2.9
1049,Krishnamurthy,Jayanth,Business,zero,0,N/A
1050,Kangkook,Jee,Computer Science,good,4,4.3
1051,Cynthia,Jenkins,Psychology,good,3,3.8
1052,Mark,Jenkins,Rhetoric,good,1,5.0
1053,Kristin,Jenkins,Management,average,11,3.2
1054,Susan,Jerger,Psychology,good,7,4.6
1055,Merry,Jett,English,good,3,5.0
1056,Rose,Jeudi,Business,good,1,4.0
1057,Filip,Jevtic,Mathematics,good,4,4.0
1058,Chen,Jia,Mathematics,poor,2,2.0
1059,Lin,Jia,Biology,average,2,3.0
1060,Juncai,Jiang,Marketing,good,1,5.0
1061,Patel,Jigar,Mathematics,zero,0,N/A
1062,Jose,Jimenez-Justiniano,Rhetoric,average,3,2.7
1063,Yaqing,Jin,Engineering,good,1,4.0
1064,Koren,Jo,Accounting,good,1,5.0
1065,Joel,Johnson,Communication,zero,0,N/A
1066,Poe,Johnson,Rhetoric,average,4,2.6
1067,Melissa,Johnson,Fine Arts,good,6,4.0
1068,Neil,Johnson,Management,zero,0,N/A
1069,Jillian,Johnson,Business,zero,0,N/A
1070,Ryan,Johnson,Literature,poor,1,1.0
1071,Casey,Johnson,Computer Science,poor,11,2.3
1072,Kevin,Johnson,Rhetoric,good,2,5.0
1073,Jennifer,Johnson,Accounting,good,36,4.7
1074,Yvonne,Johnson,History,poor,37,2.4
1075,Janet,Johnson,Arts & Technology,good,17,3.5
1076,Sara,Johnson,Social Science,poor,1,1.0
1077,Walter,Johnston,Business,good,61,3.6
1078,Elizabeth,Jones,Business,zero,0,N/A
1079,Christine,Jones,Writing,good,4,3.9
1080,Joel,Johnson,Communication,zero,0,N/A
1081,Poe,Johnson,Rhetoric,average,4,2.6
1082,Melissa,Johnson,Fine Arts,good,6,4.0
1083,Neil,Johnson,Management,zero,0,N/A
1084,Jillian,Johnson,Business,zero,0,N/A
1085,Ryan,Johnson,Literature,poor,1,1.0
1086,Casey,Johnson,Computer Science,poor,11,2.3
1087,Kevin,Johnson,Rhetoric,good,2,5.0
1088,Janet,Johnson,Arts & Technology,good,17,3.5
1089,Sara,Johnson,Social Science,poor,2,1.5
